DELIV_ID,EST_TS,EST_DT,HR,MINUTE,STORE,DASHER_ID,D2R,DELIV_CLAT,LATE_FLG,MINUTES_TO_CANCEL,DELIV_CANCELLED_AT,CANCEL_FLG,COMPLAINT,REQ,MISS,SUB,FOUND,REVENUE,N_CATEGORY_TYPES,N_SUBS_TYPES,TOTAL_ITEMS
f8ed089d-555a-46da-9ee9-139a20768a81,2022-10-15 00:06:39,2022-10-15,0,6,DashMart1,3704150,9.833333,4.583333,0,,,0,0,3,0,0,3,15.270000000000001,2,0,3
4af90b85-4dca-4684-803e-cf1f29cd188b,2022-10-15 00:06:03,2022-10-15,0,6,DashMart1,17537125,6.666667,2.95,0,,,0,0,2,0,0,2,16.68,1,0,2
4c30cae7-d049-4f64-851f-e54c78aa1375,2022-10-15 00:04:30,2022-10-15,0,4,DashMart1,12422279,4.75,5.75,0,,,0,0,6,1,1,5,38.24,4,1,6
d3f5e8e5-3452-4dc2-92dc-9514713c1411,2022-10-15 00:04:05,2022-10-15,0,4,DashMart1,,,,0,,,0,0,2,0,0,2,9.98,1,0,2
34354944-ab2c-4bf8-b6aa-3d03fe868686,2022-10-15 00:02:55,2022-10-15,0,2,Grocery2,10830670,,17.55,0,,,0,0,7,1,1,6,33.8,4,1,7
77e62c8a-fcb4-48b0-9da1-d2e89c696133,2022-10-15 00:00:45,2022-10-15,0,0,Grocery1,19746601,6.266667,2.9,0,,,0,0,3,0,0,3,5.35,2,0,3
449335c5-fdc5-4879-bc57-813125245565,2022-10-14 23:59:38,2022-10-14,23,59,Grocery1,6373573,8.533333,2.883333,0,,,0,0,22,3,3,19,107.55000000000003,10,3,22
54deeeaa-42ef-4157-a0ed-c0a4c60ed818,2022-10-14 23:59:17,2022-10-14,23,59,DashMart1,8329391,1.25,0.133333,0,,,0,0,4,0,0,4,21.16,3,0,4
d347752a-94a7-492c-926c-a8f03df73f7f,2022-10-14 23:59:16,2022-10-14,23,59,Grocery1,4454565,2.716667,1.183333,0,,,0,0,12,4,3,8,46.750000000000007,7,3,12
257d5c99-83bf-4399-9e06-94feae3b3723,2022-10-14 23:58:19,2022-10-14,23,58,Grocery1,614768,0.05,16.583333,0,,,0,0,5,1,1,4,20.35,2,1,5
5a1371eb-e155-41ae-a54b-0d1870211f37,2022-10-14 23:54:39,2022-10-14,23,54,DashMart1,6753726,3.483333,0.966667,0,,,0,0,5,0,0,5,16.65,3,0,5
6861cd5c-e761-449d-816d-564686c2685a,2022-10-14 23:51:41,2022-10-14,23,51,DashMart1,22888318,4.05,4.2,0,,,0,0,3,0,0,3,15.169999999999998,3,0,3
4205d098-3a73-45ee-9205-11da50d7ba1b,2022-10-14 23:51:37,2022-10-14,23,51,Grocery2,6619837,19.85,2.516667,0,,,0,0,1,0,0,1,5.2,1,0,1
01d61644-b46d-4e34-9540-eb4693ae87d3,2022-10-14 23:49:47,2022-10-14,23,49,DashMart1,3866677,9.2,3.216667,0,,,0,0,3,0,0,3,8.47,2,0,3
49b33761-1e95-4b23-b100-b66f50fa23ca,2022-10-14 23:48:28,2022-10-14,23,48,DashMart1,6753726,8.45,0.683333,0,,,0,0,4,0,0,4,14.559999999999999,3,0,4
ce62baa9-d6db-4732-af95-5acd817ea64b,2022-10-14 23:36:25,2022-10-14,23,36,DashMart1,22828606,0.6,1.933333,0,,,0,0,5,0,0,5,17.85,4,0,5
404ef3df-cab9-48ff-996f-8e53460a0004,2022-10-14 23:31:36,2022-10-14,23,31,Grocery1,5668181,1.1,0.233333,0,,,0,0,5,1,1,4,61.330000000000005,4,1,5
040391d1-cc1b-4140-a870-f71166e8dbda,2022-10-14 23:31:19,2022-10-14,23,31,Grocery1,2446877,2.166667,0.1,0,,,0,0,10,1,0,9,45.849999999999994,7,0,10
aee11bad-524f-4156-8778-d5bc995b5244,2022-10-14 23:21:47,2022-10-14,23,21,DashMart1,17523095,1.65,10.85,0,,,0,0,4,0,0,4,29.960000000000004,4,0,4
cc02a8df-d94b-4687-b557-2a1cca2aad51,2022-10-14 23:19:03,2022-10-14,23,19,DashMart1,9759589,0.1,0.8,1,,,0,0,1,0,0,1,19.99,1,0,1
e115dc75-d1ce-4b67-9f7e-387497d56dae,2022-10-14 23:18:37,2022-10-14,23,18,DashMart1,12569868,0.083333,0.25,0,,,0,0,4,0,0,4,18.26,2,0,4
9371aa08-22f2-442d-a5fa-d0cbd225c6a7,2022-10-14 23:17:33,2022-10-14,23,17,DashMart1,12569868,0.083333,2.25,0,,,0,0,7,0,0,7,50.230000000000004,4,0,7
1c8c903a-5ac5-47e5-84fe-d85c8d451f9f,2022-10-14 23:16:44,2022-10-14,23,16,DashMart1,2175505,2.55,4.183333,0,,,0,0,1,0,0,1,12.99,1,0,1
a469e086-17f7-4e34-ace5-29d029e9f14e,2022-10-14 23:15:38,2022-10-14,23,15,Grocery1,5456278,1.966667,0.15,0,,,0,0,12,0,0,12,89.800000000000011,6,0,12
53725e95-4398-4ffe-8107-15e9dc4c7407,2022-10-14 23:11:01,2022-10-14,23,11,DashMart1,17523095,1.65,21.55,0,,,0,0,3,0,0,3,24.97,1,0,3
